gene_id,tot_exon_len,HOG,scaf_name,scaf_len,M_F_mode,chr_soft,chr_hard,Tpa_SF_HD_Md_Re1,Tpa_SF_HD_Md_Re2,Tpa_SF_HD_Md_Re3,Tpa_SF_LG_Md_Re1,Tpa_SF_LG_Md_Re2,Tpa_SF_LG_Md_Re3,Tpa_SF_RT_Md_Re1,Tpa_SF_RT_Md_Re2,Tpa_SF_RT_Md_Re3,Tpa_SF_WB_Md_Re1,Tpa_SF_WB_Md_Re2,Tpa_SF_WB_Md_Re3,Tpa_SM_HD_Md_Re1,Tpa_SM_HD_Md_Re2,Tpa_SM_HD_Md_Re3,Tpa_SM_LG_Md_Re1,Tpa_SM_LG_Md_Re2,Tpa_SM_LG_Md_Re3,Tpa_SM_RT_Md_Re1,Tpa_SM_RT_Md_Re2,Tpa_SM_RT_Md_Re3,Tpa_SM_WB_Md_Re1,Tpa_SM_WB_Md_Re2,Tpa_SM_WB_Md_Re3,lg_pos,gene_rel_midpoint,multi_lg,all_lg
TPA_00039,233,NA,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,1,2,2,1,3,2,6,4,5,9,3,2,0,2,2,1,0,0,23,23,18,3,9,4,lg4,118520037,NO,lg4
TPA_00040,2184,HOG_16335,5_Tpa_b3v08_scaf000031,139539,0.127184848394124,A,A,85,116,120,157,200,212,305,319,343,181,197,286,116,151,162,132,140,166,411,392,504,225,285,291,lg4,118532879,NO,lg4
TPA_00041,681,NA,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,5,9,1,1,3,2,33,25,24,10,19,28,1,4,1,0,1,1,14,53,65,15,46,26,lg4,84487312,NO,lg4
TPA_00042,2889,NA,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,36,26,28,34,34,27,117,92,136,56,101,149,29,38,33,14,31,33,113,288,263,111,139,157,lg4,84500193,NO,lg4
TPA_00043,747,HOG_22002,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,13,20,12,42,16,33,84,58,109,20,22,58,21,25,19,18,25,23,63,77,54,33,60,45,lg4,84518728,NO,lg4
TPA_00044,4527,HOG_6002,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,430,513,485,604,636,673,1470,1209,1563,561,816,925,570,752,774,464,681,596,991,1043,1212,723,933,896,lg4,84543251,NO,lg4
TPA_00045,1557,NA,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,110,165,165,62,105,93,156,76,195,286,278,227,120,174,116,76,98,77,210,94,126,305,137,381,lg4,84567944,NO,lg4
TPA_00046,834,NA,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,21,32,15,17,21,14,44,11,55,65,52,62,21,25,12,21,15,13,35,23,35,51,41,121,lg4,84589938,NO,lg4
TPA_00047,1173,HOG_20026,5_Tpa_b3v08_scaf000037,134844,0.134285487678463,A,A,14,16,9,34,20,10,72,39,52,61,85,78,25,30,15,16,20,8,113,112,123,30,84,77,lg4,84614181,NO,lg4
TPA_00048,6588,HOG_2886,5_Tpa_b3v08_scaf000431,71031,-0.110500046867604,A,A,337,428,402,646,622,671,893,646,784,573,1189,1062,460,603,463,458,568,515,606,510,701,775,1062,1135,NA,NA,NA,NA
TPA_00049,2719,NA,5_Tpa_b3v08_scaf000431,71031,-0.110500046867604,A,A,15,3,3,19,4,14,24,14,1,4,3,734,5,3,8,45,14,7,10592,8029,11149,1763,1371,2182,NA,NA,NA,NA
TPA_00050,6157,NA,5_Tpa_b3v08_scaf000431,71031,-0.110500046867604,A,A,132,97,125,80,56,98,161,126,191,109,74,171,124,166,129,72,88,87,191,169,196,80,201,121,NA,NA,NA,NA
TPA_00051,648,NA,5_Tpa_b3v08_scaf000431,71031,-0.110500046867604,A,A,3,1,5,1,0,1,3,5,12,3,2,3,1,1,1,2,1,2,3,1,9,2,4,2,NA,NA,NA,NA
TPA_00052,3515,NA,5_Tpa_b3v08_scaf000161,93396,0.0871256960795146,A,A,2054,952,2301,7323,4867,5470,656,244,221,3594,6173,7058,2065,2521,3035,2941,2874,3381,96,173,177,5249,8221,6688,NA,NA,NA,NA
TPA_00053,7179,NA,5_Tpa_b3v08_scaf000161,93396,0.0871256960795146,A,A,2284,736,1069,4486,6783,2146,389,146,40,5334,7499,7736,1073,1057,1157,950,1549,1802,775,573,1244,4970,9547,9610,NA,NA,NA,NA
TPA_00054,11771,NA,5_Tpa_b3v08_scaf000988,55466,0.017608760961237,A,A,116,165,120,79,100,52,17,80,29,57,46,180,190,233,246,62,93,79,135,625,259,201,171,291,lg11,16878618,NO,lg11
TPA_00055,2841,NA,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,24,27,51,0,1,0,29,9,20,4,16,19,77,53,104,0,0,0,8,2,2,23,28,40,NA,NA,NA,NA
TPA_00056,1086,NA,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,1,0,5,1,3,3,3,0,9,11,4,21,5,0,8,9,3,2,250,355,483,51,28,70,NA,NA,NA,NA
TPA_00057,5696,HOG_19931,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,189,162,233,220,165,260,488,342,500,537,359,554,202,520,416,239,403,322,195,348,418,492,660,636,NA,NA,NA,NA
TPA_00058,339,NA,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,21,22,27,20,27,45,42,45,78,59,49,81,25,10,64,22,14,32,61,17,85,43,59,84,NA,NA,NA,NA
TPA_00059,628,NA,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,104,92,130,120,140,195,324,254,326,129,193,273,117,126,133,128,140,174,343,287,314,168,194,225,NA,NA,NA,NA
TPA_00060,312,NA,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,1,0,NA,NA,NA,NA
TPA_00061,1613,NA,5_Tpa_b3v08_scaf000267,81740,0.0187644703752512,A,A,0,1,0,0,0,1,1,0,1,32,45,22,0,0,0,1,2,3,6,12,9,28,23,33,NA,NA,NA,NA
TPA_00062,5887,HOG_5016,5_Tpa_b3v08_scaf000117,102477,0.129616061924294,A,A,69,146,156,178,329,152,59,3,19,201,265,238,55,153,167,40,117,146,169,20,84,159,261,489,NA,NA,NA,NA
TPA_00063,2841,HOG_8716,5_Tpa_b3v08_scaf000117,102477,0.129616061924294,A,A,19,30,31,35,47,42,161,133,190,65,86,99,31,48,66,31,51,39,159,135,172,109,105,74,NA,NA,NA,NA
TPA_00064,5370,HOG_14251,5_Tpa_b3v08_scaf000117,102477,0.129616061924294,A,A,280,336,400,503,779,635,324,263,380,392,1134,837,654,421,598,818,474,860,773,1067,1448,647,874,959,NA,NA,NA,NA
TPA_00065,5135,NA,5_Tpa_b3v08_scaf000185,90005,0.127108718798315,A,A,19,24,25,31,34,13,48,34,27,44,53,59,25,34,20,15,25,23,192,246,495,76,97,109,NA,NA,NA,NA
TPA_00066,3042,HOG_7602,5_Tpa_b3v08_scaf000185,90005,0.127108718798315,A,A,3,4,3,5,4,2,177,218,259,65,82,89,5,3,2,3,3,3,480,344,459,81,79,78,NA,NA,NA,NA
TPA_00067,2050,HOG_18180,5_Tpa_b3v08_scaf000185,90005,0.127108718798315,A,A,108,296,197,284,434,333,736,1148,784,305,400,462,213,262,305,257,333,227,624,471,665,397,375,399,NA,NA,NA,NA
TPA_00068,201,NA,5_Tpa_b3v08_scaf000154,94767,0.101787470709189,A,A,580,791,695,1030,1043,926,2047,2331,2211,1176,1997,1871,565,776,804,642,812,834,793,908,782,1362,1365,1137,lg4,54113675,NO,lg4
TPA_00069,3777,NA,5_Tpa_b3v08_scaf000154,94767,0.101787470709189,A,A,267,404,324,510,675,538,1215,1276,1342,533,707,859,325,515,555,391,586,459,1125,1225,1609,743,855,714,lg4,54139222,NO,lg4
TPA_00070,249,NA,5_Tpa_b3v08_scaf000154,94767,0.101787470709189,A,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,lg4,54126521,NO,lg4
TPA_00071,768,NA,5_Tpa_b3v08_scaf000154,94767,0.101787470709189,A,A,13,15,18,15,20,16,272,259,285,67,97,99,14,27,19,6,22,13,166,190,162,47,145,89,lg4,54159499,NO,lg4
TPA_00072,3304,HOG_11153,5_Tpa_b3v08_scaf000154,94767,0.101787470709189,A,A,314,337,375,514,415,566,2746,2731,3411,1056,1329,1513,472,583,533,459,481,471,2450,2504,2233,738,1827,1150,lg4,54176579,NO,lg4
TPA_00073,988,HOG_2185,5_Tpa_b3v08_scaf000154,94767,0.101787470709189,A,A,254,361,440,302,388,377,783,818,751,244,457,888,438,383,381,398,268,293,1749,1765,1808,512,917,791,lg4,54198712,NO,lg4
TPA_00074,12427,HOG_18428,5_Tpa_b3v08_scaf000195,89061,0.114619457320178,A,A,53,78,35,34,110,36,98,125,107,183,127,237,36,89,53,29,33,38,129,211,353,117,323,320,lg8,34626735,NO,lg8
TPA_00075,471,NA,5_Tpa_b3v08_scaf000472,68740,0.0328422389345056,A,A,0,4,1,0,1,0,0,0,1,1,0,26,1,0,1,1,1,1,375,268,552,100,45,100,NA,NA,NA,NA
TPA_00076,2179,NA,5_Tpa_b3v08_scaf000472,68740,0.0328422389345056,A,A,0,0,0,0,0,0,2,2,8,3,2,18,2,1,3,3,0,11,349,354,527,48,60,60,NA,NA,NA,NA
TPA_00077,1755,HOG_20037,5_Tpa_b3v08_scaf000472,68740,0.0328422389345056,A,A,202,276,312,444,374,490,1538,1233,1856,476,741,852,296,482,377,348,489,477,984,992,802,482,1043,523,NA,NA,NA,NA
TPA_00078,6103,NA,5_Tpa_b3v08_scaf000472,68740,0.0328422389345056,A,A,123,202,214,301,255,268,664,407,1213,1023,2620,2057,123,235,269,180,244,282,343,393,1002,2050,968,1757,NA,NA,NA,NA
TPA_00079,690,NA,5_Tpa_b3v08_scaf000472,68740,0.0328422389345056,A,A,9,10,11,10,4,10,60,16,45,137,279,230,6,15,11,5,14,7,6,19,59,248,98,253,NA,NA,NA,NA
TPA_00080,1408,HOG_18133,5_Tpa_b3v08_scaf000215,86818,0.0935074946731258,A,A,1,3,2,3,2,0,45,22,35,9,14,23,0,1,2,0,2,1,34,91,184,35,43,15,NA,NA,NA,NA
TPA_00081,2652,NA,5_Tpa_b3v08_scaf000215,86818,0.0935074946731258,A,A,117,207,131,224,250,193,878,765,765,249,238,383,121,252,256,136,188,230,705,601,693,369,434,360,NA,NA,NA,NA
TPA_00082,639,HOG_88,5_Tpa_b3v08_scaf000215,86818,0.0935074946731258,A,A,43,46,60,77,61,94,370,207,277,80,89,128,59,90,73,59,87,49,390,312,411,126,116,127,NA,NA,NA,NA
TPA_00083,1565,NA,5_Tpa_b3v08_scaf000215,86818,0.0935074946731258,A,A,36,17,34,33,20,37,69,65,75,36,36,62,31,50,43,31,44,49,94,87,103,52,55,70,NA,NA,NA,NA
TPA_00084,1668,NA,5_Tpa_b3v08_scaf000215,86818,0.0935074946731258,A,A,153,148,230,313,251,276,590,491,673,231,398,410,261,283,290,171,202,232,306,389,411,278,473,357,NA,NA,NA,NA
TPA_00085,1443,NA,5_Tpa_b3v08_scaf000215,86818,0.0935074946731258,A,A,437,426,529,680,693,703,828,777,907,436,563,785,566,674,644,598,691,613,697,715,620,625,745,670,NA,NA,NA,NA
TPA_00086,2516,NA,5_Tpa_b3v08_scaf000247,83254,0.151025125934819,A,A,15,52,3,24,48,3,60,210,1,16,1,42,25,80,17,38,64,8,917,573,1720,117,59,302,NA,NA,NA,NA
TPA_00087,9260,NA,5_Tpa_b3v08_scaf000247,83254,0.151025125934819,A,A,254,498,347,435,623,587,658,659,566,309,227,567,432,619,491,482,698,533,913,953,1221,561,529,603,NA,NA,NA,NA
TPA_00088,3718,NA,5_Tpa_b3v08_scaf000247,83254,0.151025125934819,A,A,206,324,250,371,548,424,1378,1529,1675,319,438,535,268,379,415,262,421,354,946,1058,1250,545,512,608,NA,NA,NA,NA
TPA_00089,2709,NA,5_Tpa_b3v08_scaf000155,94751,0.187413824185336,A,A,27,6,5,6,15,2,41,23,38,42,24,56,10,22,19,5,6,5,43,78,217,22,68,45,NA,NA,NA,NA
TPA_00090,3348,HOG_22632,5_Tpa_b3v08_scaf000155,94751,0.187413824185336,A,A,129,125,150,135,163,165,631,624,666,309,225,442,195,270,235,147,132,167,826,845,1160,312,669,456,NA,NA,NA,NA
TPA_00091,4439,HOG_16496,5_Tpa_b3v08_scaf000155,94751,0.187413824185336,A,A,104,108,151,210,200,239,524,488,569,178,235,311,132,233,176,157,215,157,837,1139,1053,335,351,428,NA,NA,NA,NA
TPA_00092,666,HOG_7170,5_Tpa_b3v08_scaf000155,94751,0.187413824185336,A,A,0,0,3,0,0,1,0,3,0,7,36,15,1,2,0,0,0,0,84,30,37,6,5,36,NA,NA,NA,NA
TPA_00093,1398,NA,5_Tpa_b3v08_scaf000155,94751,0.187413824185336,A,A,341,402,347,628,564,536,811,750,608,411,487,917,530,574,714,806,608,662,2145,2544,3573,967,1050,1333,NA,NA,NA,NA
TPA_00094,1794,HOG_336,5_Tpa_b3v08_scaf000197,88852,0.140804648977988,A,A,149,148,174,204,201,158,4303,2114,2080,361,430,745,233,285,268,168,180,140,2149,2426,2922,823,1062,1235,lg4,66903852,NO,lg4
TPA_00095,4712,NA,5_Tpa_b3v08_scaf000197,88852,0.140804648977988,A,A,204,330,308,215,260,403,5645,3878,3032,286,320,572,434,416,404,390,287,280,2205,1821,1731,603,634,840,lg4,66929144,NO,lg4
TPA_00096,1602,HOG_17670,5_Tpa_b3v08_scaf000197,88852,0.140804648977988,A,A,0,0,0,0,0,1,4,5,2,0,1,52,0,0,0,0,0,0,355,522,507,113,61,57,lg4,66936318,NO,lg4
TPA_00097,2393,HOG_22467,5_Tpa_b3v08_scaf000197,88852,0.140804648977988,A,A,104,178,142,201,176,176,1117,880,1430,419,422,552,148,235,232,148,200,170,364,504,661,1335,459,395,lg4,66954655,NO,lg4
TPA_00098,981,NA,5_Tpa_b3v08_scaf000197,88852,0.140804648977988,A,A,88,191,145,179,216,216,704,789,948,308,358,390,148,228,215,189,199,182,425,466,523,969,358,296,lg4,66975593,NO,lg4
TPA_00099,1266,NA,5_Tpa_b3v08_scaf000174,91669,0.133382198123445,A,A,22,12,10,10,4,1,73,0,10,54,91,107,1,26,9,1,4,3,6,45,91,39,159,84,NA,NA,NA,NA
TPA_00100,2097,NA,5_Tpa_b3v08_scaf000174,91669,0.133382198123445,A,A,50,40,29,45,29,24,205,91,132,113,232,250,21,75,50,9,47,18,67,228,282,85,295,174,NA,NA,NA,NA
TPA_00101,3203,NA,5_Tpa_b3v08_scaf000174,91669,0.133382198123445,A,A,149,244,164,412,367,258,866,844,837,323,647,745,168,347,229,194,352,240,961,1220,1292,353,1089,657,NA,NA,NA,NA
TPA_00102,822,NA,5_Tpa_b3v08_scaf000174,91669,0.133382198123445,A,A,38,50,36,81,97,68,125,121,125,57,103,161,25,61,45,49,79,71,219,232,160,90,161,133,NA,NA,NA,NA
TPA_00103,908,NA,5_Tpa_b3v08_scaf000174,91669,0.133382198123445,A,A,11,5,2,3,3,0,41,30,39,38,33,32,2,7,1,1,4,2,16,34,82,32,51,42,NA,NA,NA,NA
TPA_00104,3417,HOG_20496,5_Tpa_b3v08_scaf000174,91669,0.133382198123445,A,A,101,105,76,78,106,85,496,449,561,381,438,500,66,125,77,39,92,62,195,573,783,383,608,464,NA,NA,NA,NA
TPA_00105,1806,HOG_4389,5_Tpa_b3v08_scaf000074,115999,0.125697926154802,A,A,77,88,50,103,145,76,340,282,308,124,123,215,48,91,79,75,105,69,677,721,806,238,246,329,lg5,34711629,NO,lg5
TPA_00106,3087,HOG_8803,5_Tpa_b3v08_scaf000074,115999,0.125697926154802,A,A,1285,1472,1383,2078,2048,2057,4198,5027,4788,2587,3900,4228,1437,1804,2415,1782,1858,2034,2468,2506,2707,3295,2540,2687,lg5,34745127,NO,lg5
TPA_00107,4407,HOG_23795,5_Tpa_b3v08_scaf000074,115999,0.125697926154802,A,A,245,339,417,466,349,702,1609,1017,1937,550,610,952,497,605,452,557,619,469,1115,1121,1016,499,861,805,lg5,34757946,NO,lg5
TPA_00108,1689,NA,5_Tpa_b3v08_scaf000074,115999,0.125697926154802,A,A,184,209,236,212,237,263,559,501,471,291,182,336,262,397,343,315,372,346,527,588,685,452,364,635,lg5,34775405,NO,lg5
TPA_00109,4040,NA,5_Tpa_b3v08_scaf000074,115999,0.125697926154802,A,A,76,117,94,134,146,152,395,408,331,148,133,256,125,125,131,128,112,163,660,509,770,217,267,237,lg5,34797401,NO,lg5
TPA_00110,561,NA,5_Tpa_b3v08_scaf000074,115999,0.125697926154802,A,A,0,0,0,0,0,0,1,1,2,1,1,5,0,0,0,0,0,1,10,7,19,3,6,4,lg5,34804330,NO,lg5
TPA_00111,1401,NA,5_Tpa_b3v08_scaf000272,81564,0.234189993752445,A,A,5,9,4,9,12,6,7,4,2,20,18,29,7,8,10,4,3,2,17,22,44,11,29,27,lg5,42181999,NO,lg5
TPA_00112,3777,NA,5_Tpa_b3v08_scaf000272,81564,0.234189993752445,A,A,43,43,29,45,68,57,73,31,44,90,59,138,41,53,29,54,54,25,31,149,159,122,128,152,lg5,42148165,NO,lg5
TPA_00113,1476,HOG_17158,5_Tpa_b3v08_scaf000272,81564,0.234189993752445,A,A,26,33,27,28,34,49,97,97,144,41,81,77,30,44,57,45,35,48,169,171,187,112,64,70,lg5,42118415,NO,lg5
TPA_00114,322,NA,5_Tpa_b3v08_scaf000964,56049,0.0870069360266289,A,A,4,9,3,9,9,5,35,35,28,7,17,18,5,11,10,5,6,7,27,41,80,20,38,22,NA,NA,NA,NA
TPA_00115,585,NA,5_Tpa_b3v08_scaf000964,56049,0.0870069360266289,A,A,6,7,5,8,7,4,46,36,37,16,20,35,6,16,6,3,12,11,37,32,90,27,36,20,NA,NA,NA,NA
TPA_00116,618,NA,5_Tpa_b3v08_scaf000964,56049,0.0870069360266289,A,A,3,19,24,4,9,36,40,70,73,12,10,51,35,15,36,41,16,40,521,346,472,214,57,152,NA,NA,NA,NA
