gene_id,tot_exon_len,HOG,scaf_name,scaf_len,M_F_mode,chr_soft,chr_hard,Tbi_SF_HD_Md_Re1,Tbi_SF_HD_Md_Re2,Tbi_SF_HD_Md_Re3,Tbi_SF_LG_Md_Re1,Tbi_SF_LG_Md_Re2,Tbi_SF_LG_Md_Re3,Tbi_SF_RT_Md_Re1,Tbi_SF_RT_Md_Re2,Tbi_SF_RT_Md_Re3,Tbi_SF_WB_Md_Re1,Tbi_SF_WB_Md_Re2,Tbi_SF_WB_Md_Re3,Tbi_SM_HD_Md_Re1,Tbi_SM_HD_Md_Re2,Tbi_SM_HD_Md_Re3,Tbi_SM_LG_Md_Re1,Tbi_SM_LG_Md_Re2,Tbi_SM_LG_Md_Re3,Tbi_SM_RT_Md_Re1,Tbi_SM_RT_Md_Re2,Tbi_SM_RT_Md_Re3,Tbi_SM_WB_Md_Re1,Tbi_SM_WB_Md_Re2,Tbi_SM_WB_Md_Re3,lg_pos,gene_rel_midpoint,multi_lg,all_lg
TBI_00013,351,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,1,1,3,0,0,0,4,2,5,0,1,1,1,1,1,0,0,1,0,4,2,2,0,2,lg7,33387130,NO,lg7
TBI_00014,4668,HOG_17900,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,5,2,11,4,2,3,19,22,13,15,11,7,2,0,1,3,1,2,8,13,7,3,19,4,lg7,33408192,NO,lg7
TBI_00015,3920,HOG_13409,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,51,40,54,51,44,64,246,224,145,125,102,107,44,26,48,39,21,57,72,71,79,117,83,38,lg7,33438706,NO,lg7
TBI_00016,3854,HOG_19966,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,4444,4471,3217,3305,3733,3967,2921,2756,2360,3244,2158,2261,3381,2738,4164,3363,2695,3768,3043,2709,3255,4368,1893,2222,lg7,33463306,NO,lg7
TBI_00017,6155,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,1908,1892,1130,495,555,544,290,252,332,464,511,383,2068,3368,3144,912,1160,1758,323,523,469,835,954,635,lg7,33482494,NO,lg7
TBI_00018,300,NA,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,481,467,210,78,80,91,206,185,221,470,271,319,379,520,961,209,219,526,109,143,512,632,179,200,lg7,33497417,NO,lg7
TBI_00019,1161,HOG_20098,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,5959,5933,2624,880,802,787,3428,3497,3138,15978,6865,10150,7373,5365,9513,1866,2143,3733,37779,25215,69910,15326,5660,3283,lg7,33515293,NO,lg7
TBI_00020,1365,HOG_20285,4_Tbi_b3v08_scaf000008,941835,0.00394714078266378,A,A,134,138,100,179,225,204,753,738,539,449,315,392,195,162,166,188,170,191,395,397,442,298,274,266,lg7,33535837,NO,lg7
TBI_00021,4164,HOG_20606,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,15,11,18,33,67,32,0,0,1,12,2,4,34,24,28,12,22,22,171,151,52,15,15,14,lg6,45638071,NO,lg6
TBI_00022,2989,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,18,11,2,4,4,1,7,6,79,494,125,70,18,15,8,8,8,11,248,323,474,341,149,125,lg6,45668639,NO,lg6
TBI_00023,723,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,175,112,75,23,6,2,lg6,45715031,NO,lg6
TBI_00024,3825,HOG_2201,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,4,1,0,0,0,0,4,3,4,42,40,104,0,0,0,0,0,0,6517,4738,3559,598,415,211,lg6,45733902,NO,lg6
TBI_00025,1038,HOG_2549,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,229,241,94,63,81,64,1,5,2,28,32,16,180,128,113,78,56,94,10,19,7,129,145,141,lg6,45759409,NO,lg6
TBI_00026,1356,HOG_20345,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,607,1250,987,97,307,239,lg6,45987498,NO,lg6
TBI_00027,4526,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,25,35,35,46,48,50,242,190,194,74,84,107,40,29,35,35,40,45,240,369,391,56,105,92,lg6,46027272,NO,lg6
TBI_00028,828,HOG_21163,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,192,170,156,177,221,285,411,358,338,336,237,225,112,93,126,134,157,182,191,166,189,401,270,175,lg6,46100326,NO,lg6
TBI_00029,1556,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,59,45,37,63,54,51,310,326,259,113,102,183,71,49,55,61,50,45,640,1014,1114,145,245,232,lg6,46120272,NO,lg6
TBI_00030,1866,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,3,3,4,3,2,4,22,22,17,17,14,19,2,0,2,2,0,1,24,43,36,12,25,9,lg6,46147190,NO,lg6
TBI_00031,5993,HOG_13896,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,336,346,290,367,348,400,1164,1125,898,488,330,471,369,315,392,361,319,334,1099,1450,1319,522,421,304,lg6,46178466,NO,lg6
TBI_00032,1347,HOG_20004,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,0,2,1,0,1,1,19,15,13,9,12,16,3,3,4,2,2,1,16,37,23,3,13,9,lg6,46291120,NO,lg6
TBI_00033,912,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,14,10,12,22,30,22,155,152,53,23,17,44,8,12,40,13,9,25,30,49,61,21,46,26,lg6,46321012,NO,lg6
TBI_00034,1380,HOG_19484,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,29,46,26,46,49,59,191,194,151,79,77,64,46,32,42,33,35,46,115,122,158,59,86,45,lg6,46335921,NO,lg6
TBI_00035,10926,HOG_23734,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,384,364,358,404,417,539,855,820,739,519,403,368,535,427,455,501,440,359,918,1137,1017,581,420,441,lg6,46371817,NO,lg6
TBI_00036,1725,HOG_18682,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,2,2,1,0,4,0,1,0,1,10,3,0,0,0,0,0,0,0,18,28,21,2,6,5,lg6,46460863,NO,lg6
TBI_00037,1125,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,1383,1221,782,1459,1543,1514,18426,17113,13270,3547,3489,4511,1853,1858,1722,1484,1564,1605,5631,6717,6600,2150,1791,1757,lg6,46500664,NO,lg6
TBI_00038,573,HOG_1502,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,15,10,16,18,14,25,169,178,138,46,55,55,16,12,14,9,16,13,96,174,131,18,50,34,lg6,46521377,NO,lg6
TBI_00039,1857,HOG_5681,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,142,150,122,200,231,197,628,563,443,352,205,347,156,164,150,138,157,152,333,384,431,248,228,211,lg6,46608223,NO,lg6
TBI_00040,2301,NA,4_Tbi_b3v08_scaf000003,1013754,-0.00458161864215766,A,A,52,52,45,42,39,57,327,337,242,147,109,161,58,32,59,33,64,45,318,370,361,133,69,63,lg6,46596355,NO,lg6
TBI_00041,417,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,29,37,67,55,48,89,18,14,16,129,197,114,395,307,301,757,475,423,23,4,25,219,399,351,lg10,25476203,NO,lg10
TBI_00042,1885,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,845,793,512,987,981,947,1375,1408,735,1779,1090,2019,1170,1063,1006,1080,927,907,1284,812,1697,1290,1214,1167,lg10,25460982,NO,lg10
TBI_00043,3646,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,483,525,334,988,1129,1055,141,114,97,365,350,323,1784,2079,1464,2343,2507,1785,235,283,324,1524,1343,1340,lg10,25430158,NO,lg10
TBI_00044,2519,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,108,120,61,32,41,29,117,97,50,313,153,140,66,67,59,23,11,16,354,467,422,210,295,88,lg10,25401854,NO,lg10
TBI_00045,2216,HOG_19423,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,306,287,225,216,177,230,803,769,656,746,523,618,314,240,293,180,192,250,919,732,1598,712,329,318,lg10,25371160,NO,lg10
TBI_00046,1038,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,29,24,34,50,34,49,398,303,248,38,65,71,40,33,29,46,32,40,248,351,310,43,91,73,lg10,25365546,NO,lg10
TBI_00047,2278,HOG_18158,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,8,6,7,6,7,4,15,18,9,11,10,7,14,17,8,10,6,3,480,1100,1054,73,207,188,lg10,25340560,NO,lg10
TBI_00048,3096,HOG_17295,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,219,236,150,199,227,252,1702,1566,1324,573,473,629,305,276,296,339,254,336,1610,2249,2420,571,776,681,lg10,25334730,NO,lg10
TBI_00049,1833,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,17,23,12,21,15,35,131,113,98,47,44,49,13,16,26,10,20,22,149,273,283,37,77,44,lg10,25308219,NO,lg10
TBI_00050,8347,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,351,397,371,295,332,357,729,669,507,328,328,348,462,497,443,332,311,263,1014,822,871,407,362,368,lg10,24959797,NO,lg10
TBI_00051,6297,HOG_12555,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,683,724,623,605,735,829,1631,1564,1090,984,706,678,647,467,735,672,500,648,895,1031,1008,1141,586,606,lg10,24908261,NO,lg10
TBI_00052,850,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,0,1,6,0,2,0,14,9,3,14,5,4,0,1,3,0,1,0,8,4,8,1,2,0,lg10,24867137,NO,lg10
TBI_00053,2799,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,10,9,29,16,13,15,72,83,57,51,49,46,17,3,25,15,22,16,36,40,45,22,42,17,lg10,24853549,NO,lg10
TBI_00054,10312,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,6394,6260,3622,4263,4452,3801,1705,1652,1710,5975,3535,3105,5841,6578,5905,4035,3832,5194,3321,3318,7913,6508,4571,4392,lg10,24757742,NO,lg10
TBI_00055,339,NA,4_Tbi_b3v08_scaf000009,871735,-0.0117002527304753,A,A,212,212,102,247,283,222,866,681,503,242,338,295,181,161,185,194,158,183,529,662,706,250,348,317,lg10,24662643,NO,lg10
TBI_00056,8900,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,666,646,423,866,919,792,2483,2477,1691,1143,923,1209,763,662,642,760,703,699,1767,1840,1843,990,879,837,lg8,53636543,NO,lg8
TBI_00057,606,HOG_2880,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,225,200,125,254,268,299,512,501,377,326,248,323,197,178,220,225,241,242,508,697,623,271,309,290,lg8,53626268,NO,lg8
TBI_00058,2205,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,54,45,45,46,52,43,292,275,253,81,100,107,65,60,60,44,53,39,455,478,641,91,191,143,lg8,53617865,NO,lg8
TBI_00059,1285,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,5,7,4,5,9,12,64,57,54,16,14,28,6,8,6,2,6,11,106,87,142,20,21,29,lg8,53605171,NO,lg8
TBI_00060,14258,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,1606,1578,1324,1567,1675,2030,729,646,712,2106,1465,966,721,540,413,636,823,629,2267,1315,3171,2809,3334,1313,lg8,53466765,NO,lg8
TBI_00061,1362,HOG_20037,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,252,250,177,297,261,313,1734,1802,1418,560,602,972,351,297,324,345,274,338,1154,1309,1190,526,397,350,lg8,53500815,NO,lg8
TBI_00062,2241,HOG_12123,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,5,4,5,4,1,9,385,369,369,49,58,92,5,9,7,6,3,4,105,131,149,10,23,38,lg8,53361633,NO,lg8
TBI_00063,7530,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,300,323,354,296,342,480,804,764,602,543,539,531,311,306,285,328,338,242,791,1053,979,391,605,281,lg8,53336551,NO,lg8
TBI_00064,5943,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,4,5,4,4,3,7,29,21,4,13,8,18,5,3,1,5,7,3,129,54,46,12,32,0,lg8,53300575,NO,lg8
TBI_00065,3570,NA,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,48,51,93,41,32,181,244,301,442,441,230,341,140,128,72,114,115,53,404,370,173,166,430,7,lg8,53249145,NO,lg8
TBI_00066,1404,HOG_19783,4_Tbi_b3v08_scaf000102,523318,0.00864463301791406,A,A,3,1,1,1,1,3,0,0,0,2,3,3,1,4,7,0,0,0,18,14,4,7,6,1,lg8,53199030,NO,lg8
TBI_00067,1374,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,17,20,1,46,36,11,13,8,16,4,4,5,132,125,290,101,87,188,4,0,4,204,2,150,lg5,14861106,NO,lg5
TBI_00068,1899,HOG_18596,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,20,24,27,20,11,23,21,16,23,22,17,7,16,19,9,8,21,5,39,26,31,16,22,6,lg5,14965292,NO,lg5
TBI_00069,1560,HOG_18246,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,143,150,93,150,175,155,836,731,600,237,194,263,135,131,132,171,117,144,481,466,535,202,193,197,lg5,15019558,NO,lg5
TBI_00070,504,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,469,432,339,560,653,623,1426,1363,1232,696,1032,1225,639,654,580,665,619,591,1264,1992,1689,746,1160,981,lg5,15036253,NO,lg5
TBI_00071,1146,HOG_1554,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,131,126,105,127,157,156,827,766,635,217,235,300,151,123,161,154,110,134,891,1202,1230,238,364,326,lg5,15048950,NO,lg5
TBI_00072,2217,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,1129,1155,717,1002,1105,1255,5475,5335,5255,11427,4460,3721,1320,1271,1291,1242,1548,1479,5830,6616,6919,7286,2477,2041,lg5,15096893,NO,lg5
TBI_00073,3960,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,1630,1615,1208,2495,2698,2568,6594,6581,5193,2053,1819,2163,1834,1821,1620,2141,2522,2056,3178,2669,2579,2341,2019,1769,lg5,15140216,NO,lg5
TBI_00074,1088,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,45,35,31,60,59,59,302,305,175,82,71,84,29,33,23,39,51,38,92,78,87,56,68,39,lg5,15152054,NO,lg5
TBI_00075,1005,HOG_22272,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,1,1,14,2,3,9,13,7,7,15,12,13,4,2,1,0,3,4,61,94,82,19,28,21,lg5,15183204,NO,lg5
TBI_00076,657,HOG_582,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,3,1,14,0,1,4,26,13,19,8,13,8,0,1,2,0,6,3,10,14,12,5,4,0,lg5,15203202,NO,lg5
TBI_00077,519,HOG_21115,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,2,0,0,0,0,1,2,3,0,0,2,3,0,0,0,1,1,0,7,5,9,0,0,0,lg5,15207149,NO,lg5
TBI_00078,1119,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,2,4,1,3,2,0,22,15,11,45,29,16,0,10,0,0,11,1,513,306,296,64,47,44,lg5,15216244,NO,lg5
TBI_00079,663,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,0,1,2,0,1,1,11,4,5,5,8,2,0,0,2,1,0,0,6,1,4,1,6,1,lg5,15218337,NO,lg5
TBI_00080,2186,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,3,5,1,2,2,0,23,24,10,39,16,20,0,10,0,0,5,1,647,302,342,56,77,43,lg5,15234333,NO,lg5
TBI_00081,1041,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,96,90,75,88,106,106,310,298,210,121,97,113,72,47,85,97,71,103,345,220,403,140,118,142,lg5,15257149,NO,lg5
TBI_00082,5327,HOG_9270,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,126,141,77,134,159,163,683,654,564,250,211,252,195,129,146,170,112,170,538,517,523,199,242,186,lg5,15272938,NO,lg5
TBI_00083,4980,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,118,113,100,100,114,136,627,592,594,309,416,392,97,84,92,100,87,77,318,382,374,208,347,223,lg5,15421444,NO,lg5
TBI_00084,1412,HOG_22549,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,66,76,54,65,58,72,319,315,264,194,151,165,86,71,82,77,70,86,232,190,232,138,137,84,lg5,15445201,NO,lg5
TBI_00085,4089,NA,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,26,33,34,8,8,14,77,91,67,118,104,127,25,22,19,8,30,10,79,89,131,49,55,21,lg5,15482160,NO,lg5
TBI_00086,1077,HOG_18293,4_Tbi_b3v08_scaf000012,865368,0.0115220388913829,A,A,3,8,7,3,2,11,20,24,6,13,19,13,1,2,4,0,2,1,42,59,76,12,26,16,lg5,15518039,NO,lg5
TBI_00087,463,NA,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lg11,32117073,NO,lg11
TBI_00088,16450,NA,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,2428,2518,3476,3426,3531,5272,493,506,393,2627,1147,848,2323,2229,2555,3631,3688,3231,587,610,586,3863,1763,1119,lg11,31977315,NO,lg11
TBI_00089,1944,HOG_14783,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,49,35,51,54,56,66,302,342,223,107,106,124,49,37,62,73,48,51,181,200,182,83,81,56,lg11,31889306,NO,lg11
TBI_00090,807,HOG_20031,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,86,94,65,71,86,99,696,630,550,218,262,283,103,91,113,94,67,101,317,358,366,124,153,104,lg11,31881509,NO,lg11
TBI_00091,927,HOG_23040,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,15,17,13,9,15,29,65,60,67,24,21,21,17,15,16,22,13,7,163,215,183,25,49,39,lg11,31870757,NO,lg11
TBI_00092,4314,HOG_24303,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,28,22,22,19,32,40,243,235,181,60,38,48,33,28,32,35,46,27,285,523,456,56,109,89,lg11,31850023,NO,lg11
TBI_00093,6956,NA,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,863,790,724,1184,1275,1712,1053,1057,869,1092,666,733,742,695,795,1212,1000,990,1959,2164,2114,1271,810,820,lg11,31718574,NO,lg11
TBI_00094,633,HOG_641,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,10,8,21,8,12,20,29,38,20,24,14,15,5,10,5,4,9,12,76,73,94,16,28,23,lg11,31682248,NO,lg11
TBI_00095,5757,HOG_16467,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,160,174,295,188,180,323,126,130,99,355,207,224,81,69,101,142,188,136,151,165,140,372,283,152,lg11,31615007,NO,lg11
TBI_00096,1170,NA,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,105,88,88,113,114,146,80,63,59,141,84,108,72,71,55,124,93,85,88,102,100,145,103,82,lg11,31587927,NO,lg11
TBI_00097,4074,NA,4_Tbi_b3v08_scaf000044,649350,0.00407488771376575,A,A,13,8,10,15,13,27,49,55,40,56,19,44,10,8,14,22,21,21,18,11,14,46,76,28,lg11,31554054,NO,lg11
TBI_00098,1377,HOG_1007,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,59,63,39,54,47,67,206,206,168,77,93,117,55,48,47,55,33,55,566,1161,902,128,228,234,NA,NA,NA,NA
TBI_00099,1350,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,5,13,10,1,1,0,NA,NA,NA,NA
TBI_00100,1572,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,258,257,159,240,257,276,2877,2765,2061,817,857,1206,410,303,329,298,248,280,1274,1141,1174,604,486,412,NA,NA,NA,NA
TBI_00101,663,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,173,171,114,197,195,207,429,441,322,307,316,303,182,155,174,202,147,158,479,497,671,274,312,248,NA,NA,NA,NA
TBI_00102,4781,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,665,642,468,340,375,355,553,589,553,981,1347,1935,497,463,599,346,321,353,1253,1137,2810,920,679,714,NA,NA,NA,NA
TBI_00103,492,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,158,156,82,197,197,204,822,802,638,444,390,608,202,194,166,190,184,214,551,530,604,242,340,336,NA,NA,NA,NA
TBI_00104,1020,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,334,320,172,397,379,424,2079,2116,1500,919,653,1294,359,358,339,380,330,401,1347,1413,1417,627,469,466,NA,NA,NA,NA
TBI_00105,3089,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,93,113,104,87,89,135,843,837,513,271,243,337,92,94,81,100,91,82,374,340,303,203,253,130,NA,NA,NA,NA
TBI_00106,318,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,4,7,5,5,5,4,45,34,16,7,19,15,10,4,4,3,5,5,24,21,28,9,17,8,NA,NA,NA,NA
TBI_00107,5858,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,252,252,215,183,242,287,1019,1035,683,245,301,334,308,302,257,349,271,210,574,561,558,251,329,228,NA,NA,NA,NA
TBI_00108,2472,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,165,145,104,150,155,174,866,857,737,338,264,501,163,121,105,140,130,134,483,435,663,354,312,253,NA,NA,NA,NA
TBI_00109,867,HOG_23898,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,296,290,184,272,294,277,2196,2216,1698,643,672,991,328,294,312,292,257,298,2190,3070,2990,702,946,751,NA,NA,NA,NA
TBI_00110,1956,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,508,412,462,339,383,507,712,721,571,358,476,477,398,398,289,450,361,210,385,343,363,382,640,372,NA,NA,NA,NA
TBI_00111,780,HOG_21508,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,400,462,366,508,548,587,599,612,455,959,640,898,406,350,374,376,261,403,403,412,602,935,575,681,NA,NA,NA,NA
TBI_00112,894,NA,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,216,223,143,231,221,218,1030,949,819,447,326,561,248,194,204,274,196,227,568,499,604,354,218,198,NA,NA,NA,NA
TBI_00113,807,HOG_23429,4_Tbi_b3v08_scaf000194,421062,-0.0357285221000302,A,A,116,99,92,110,114,95,485,490,423,181,121,198,96,66,103,83,75,101,225,290,284,177,137,88,NA,NA,NA,NA
