HOG_23995	TPS_13982	TCM_10890	TCE_12138	TBI_11529	TPA_13879
HOG_20662	TPS_00413	TCM_11387	TCE_00858	TBI_01007	TPA_06913
HOG_20661	TPS_04809	TCM_06236	TCE_04144	TBI_08022	TPA_02967
HOG_10372	TPS_02294	TCM_01719	TCE_03191	TBI_00532	TPA_00027
HOG_17178	TPS_10905	TCM_05040	TCE_04049	TBI_10884	TPA_02876
HOG_7238	TPS_07732	TCM_12049	TCE_08851	TBI_08419	TPA_08785
HOG_5040	TPS_12199	TCM_10716	TCE_06574	TBI_04410	TPA_12916
HOG_16919	TPS_01197	TCM_03557	TCE_06192	TBI_06244	TPA_04846
HOG_1800	TPS_00384	TCM_01221	TCE_02303	TBI_00430	TPA_07895
HOG_16910	TPS_01015	TCM_01123	TCE_01358	TBI_01258	TPA_10416
HOG_16913	TPS_03429	TCM_11779	TCE_09416	TBI_04145	TPA_07457
HOG_9514	TPS_01344	TCM_03637	TCE_09669	TBI_07514	TPA_04522
HOG_21396	TPS_09175	TCM_03965	TCE_03975	TBI_04438	TPA_05762
HOG_10774	TPS_03406	TCM_08242	TCE_01415	TBI_00906	TPA_15305
HOG_22594	TPS_01223	TCM_00455	TCE_00365	TBI_02663	TPA_09819
HOG_6234	TPS_13252	TCM_09211	TCE_12615	TBI_12299	TPA_12556
HOG_22550	TPS_01318	TCM_06821	TCE_09228	TBI_07190	TPA_15132
HOG_20445	TPS_02548	TCM_03793	TCE_06267	TBI_04829	TPA_12585
HOG_2269	TPS_00209	TCM_01379	TCE_00963	TBI_01224	TPA_00531
HOG_18556	TPS_10885	TCM_07493	TCE_03737	TBI_07435	TPA_09614
HOG_18885	TPS_07585	TCM_05377	TCE_13267	TBI_05930	TPA_03664
HOG_18886	TPS_03484	TCM_06108	TCE_03402	TBI_12625	TPA_15075
HOG_18887	TPS_13154	TCM_14003	TCE_13539	TBI_13994	TPA_08596
HOG_20918	TPS_08445	TCM_08248	TCE_11169	TBI_09255	TPA_04467
HOG_20449	TPS_01528	TCM_02225	TCE_00449	TBI_01436	TPA_05358
HOG_18551	TPS_08033	TCM_01743	TCE_03488	TBI_06606	TPA_10097
HOG_18953	TPS_06714	TCM_01540	TCE_02597	TBI_01962	TPA_08174
HOG_7306	TPS_01295	TCM_00492	TCE_00716	TBI_01405	TPA_07310
HOG_18954	TPS_08419	TCM_08096	TCE_09698	TBI_09183	TPA_10610
HOG_7305	TPS_15557	TCM_07824	TCE_09543	TBI_12934	TPA_06481
HOG_21406	TPS_08281	TCM_08348	TCE_00767	TBI_05701	TPA_07584
HOG_18959	TPS_08257	TCM_07513	TCE_13313	TBI_11582	TPA_03786
HOG_24161	TPS_07214	TCM_03640	TCE_08601	TBI_05686	TPA_04471
HOG_21403	TPS_01529	TCM_02906	TCE_04366	TBI_01767	TPA_00517
HOG_18422	TPS_06459	TCM_14523	TCE_05141	TBI_07474	TPA_15055
HOG_17579	TPS_02272	TCM_01831	TCE_12253	TBI_03078	TPA_15879
HOG_11912	TPS_02008	TCM_08684	TCE_04602	TBI_08593	TPA_03141
HOG_18424	TPS_02911	TCM_01989	TCE_07540	TBI_06742	TPA_07296
HOG_18425	TPS_05684	TCM_04879	TCE_06544	TBI_05660	TPA_08323
HOG_16730	TPS_01913	TCM_06028	TCE_05782	TBI_08170	TPA_02455
HOG_23176	TPS_02653	TCM_04265	TCE_00601	TBI_03767	TPA_09787
HOG_18428	TPS_00198	TCM_02335	TCE_07087	TBI_00741	TPA_00074
HOG_813	TPS_11101	TCM_08104	TCE_10094	TBI_04480	TPA_01471
HOG_815	TPS_03698	TCM_04766	TCE_10029	TBI_03382	TPA_06230
HOG_18773	TPS_03828	TCM_05409	TCE_05549	TBI_10466	TPA_04556
HOG_2853	TPS_05166	TCM_07229	TCE_00742	TBI_03979	TPA_16447
HOG_18771	TPS_04346	TCM_07010	TCE_06426	TBI_12953	TPA_00836
HOG_2855	TPS_04607	TCM_11016	TCE_06644	TBI_10765	TPA_15890
HOG_24157	TPS_01248	TCM_04267	TCE_10238	TBI_07572	TPA_00325
HOG_24156	TPS_08233	TCM_05352	TCE_09691	TBI_08908	TPA_03731
HOG_20289	TPS_13132	TCM_11022	TCE_13270	TBI_03920	TPA_02527
HOG_7040	TPS_03561	TCM_07869	TCE_05922	TBI_04053	TPA_03855
HOG_20285	TPS_02991	TCM_02765	TCE_05280	TBI_00020	TPA_09872
HOG_20284	TPS_06474	TCM_04306	TCE_03109	TBI_06841	TPA_13074
HOG_20287	TPS_03789	TCM_07546	TCE_00459	TBI_01909	TPA_06905
HOG_20286	TPS_08522	TCM_04315	TCE_05460	TBI_02814	TPA_12536
HOG_20280	TPS_00130	TCM_01215	TCE_04128	TBI_02091	TPA_11161
HOG_5267	TPS_05945	TCM_09732	TCE_03225	TBI_06325	TPA_03576
HOG_21080	TPS_02483	TCM_08992	TCE_12271	TBI_11720	TPA_05676
HOG_19954	TPS_05812	TCM_02737	TCE_05649	TBI_05905	TPA_09958
HOG_20048	TPS_15540	TCM_14427	TCE_13752	TBI_09910	TPA_16201
HOG_14185	TPS_05952	TCM_08553	TCE_08480	TBI_03049	TPA_02010
HOG_24014	TPS_01043	TCM_01045	TCE_05666	TBI_04080	TPA_14604
HOG_1258	TPS_12514	TCM_08841	TCE_05315	TBI_09988	TPA_16520
HOG_19516	TPS_05254	TCM_06157	TCE_04147	TBI_06407	TPA_03842
HOG_16378	TPS_02091	TCM_03114	TCE_02106	TBI_12256	TPA_04342
HOG_18395	TPS_10172	TCM_10313	TCE_06523	TBI_06397	TPA_16409
HOG_16379	TPS_03447	TCM_01578	TCE_02869	TBI_11176	TPA_07852
HOG_1129	TPS_02135	TCM_14044	TCE_09589	TBI_11970	TPA_13830
HOG_8608	TPS_13867	TCM_09605	TCE_04721	TBI_03686	TPA_05420
HOG_18175	TPS_08364	TCM_07791	TCE_04675	TBI_03876	TPA_02477
HOG_18176	TPS_00519	TCM_05872	TCE_01502	TBI_01810	TPA_03039
HOG_18177	TPS_03990	TCM_07677	TCE_10996	TBI_01991	TPA_08556
HOG_6987	TPS_11367	TCM_07318	TCE_05960	TBI_05657	TPA_13383
HOG_18179	TPS_03826	TCM_06399	TCE_05419	TBI_06473	TPA_08343
HOG_17442	TPS_04924	TCM_04760	TCE_05829	TBI_05822	TPA_06934
HOG_18377	TPS_04013	TCM_04807	TCE_04929	TBI_08892	TPA_01575
HOG_18375	TPS_10530	TCM_01138	TCE_02404	TBI_03846	TPA_06068
HOG_18372	TPS_03473	TCM_05482	TCE_06540	TBI_05219	TPA_07974
HOG_21089	TPS_06686	TCM_09633	TCE_09563	TBI_04652	TPA_03041
HOG_15105	TPS_12750	TCM_05823	TCE_07246	TBI_05484	TPA_01038
HOG_14328	TPS_06425	TCM_03244	TCE_04816	TBI_10316	TPA_02162
HOG_17981	TPS_01868	TCM_04002	TCE_02263	TBI_03747	TPA_00649
HOG_17982	TPS_03237	TCM_06274	TCE_03050	TBI_00538	TPA_00701
HOG_17675	TPS_03537	TCM_00360	TCE_01080	TBI_00512	TPA_06901
HOG_17985	TPS_11869	TCM_11202	TCE_13018	TBI_08016	TPA_07631
HOG_3029	TPS_13391	TCM_10542	TCE_06401	TBI_11662	TPA_09450
HOG_18020	TPS_08431	TCM_03804	TCE_03160	TBI_07796	TPA_05005
HOG_21167	TPS_09563	TCM_01476	TCE_07861	TBI_03672	TPA_04151
HOG_3025	TPS_09233	TCM_08196	TCE_07242	TBI_09280	TPA_02938
HOG_524	TPS_01296	TCM_00493	TCE_00715	TBI_01404	TPA_07309
HOG_18086	TPS_06252	TCM_01707	TCE_01382	TBI_02155	TPA_11616
HOG_3652	TPS_12682	TCM_14485	TCE_06216	TBI_02233	TPA_11505
HOG_522	TPS_02589	TCM_01402	TCE_00301	TBI_12532	TPA_06891
HOG_18083	TPS_13612	TCM_03340	TCE_12950	TBI_00155	TPA_10813
HOG_20095	TPS_07738	TCM_12704	TCE_10905	TBI_04199	TPA_07597
HOG_1017	TPS_08729	TCM_10203	TCE_07530	TBI_01713	TPA_10435
HOG_1010	TPS_08140	TCM_03755	TCE_01746	TBI_01800	TPA_05197
HOG_302	TPS_05337	TCM_08642	TCE_08404	TBI_01575	TPA_01402
HOG_994	TPS_07717	TCM_05842	TCE_10831	TBI_08690	TPA_16226
HOG_1234	TPS_04857	TCM_05767	TCE_08185	TBI_12084	TPA_07910
HOG_22226	TPS_03427	TCM_07852	TCE_02682	TBI_06134	TPA_05399
HOG_1230	TPS_08099	TCM_03632	TCE_01334	TBI_01634	TPA_02975
HOG_1231	TPS_04780	TCM_09460	TCE_05978	TBI_00907	TPA_01567
HOG_1232	TPS_03218	TCM_07788	TCE_09817	TBI_07298	TPA_12423
HOG_17545	TPS_10697	TCM_04939	TCE_00702	TBI_00290	TPA_03675
HOG_22221	TPS_04114	TCM_04607	TCE_12672	TBI_11021	TPA_16199
HOG_3956	TPS_05962	TCM_07395	TCE_04671	TBI_09984	TPA_09837
HOG_19513	TPS_05733	TCM_12883	TCE_06728	TBI_04308	TPA_08614
HOG_5673	TPS_12991	TCM_14382	TCE_07127	TBI_03582	TPA_13902
HOG_4359	TPS_00568	TCM_01446	TCE_03369	TBI_02963	TPA_13901
HOG_2521	TPS_10866	TCM_11698	TCE_11004	TBI_04667	TPA_08450
HOG_4356	TPS_05456	TCM_03350	TCE_02188	TBI_11797	TPA_01820
HOG_19196	TPS_07490	TCM_06143	TCE_08455	TBI_09875	TPA_07344
HOG_2081	TPS_15351	TCM_07563	TCE_10740	TBI_06393	TPA_15079
HOG_346	TPS_01927	TCM_01814	TCE_01986	TBI_02502	TPA_02710
HOG_24288	TPS_09551	TCM_04782	TCE_02676	TBI_05605	TPA_15644
HOG_23063	TPS_06869	TCM_02555	TCE_09667	TBI_00412	TPA_14842
HOG_21310	TPS_01522	TCM_01345	TCE_08180	TBI_01062	TPA_04715
HOG_24282	TPS_05305	TCM_11924	TCE_00680	TBI_07732	TPA_06609
HOG_23068	TPS_14945	TCM_03928	TCE_06935	TBI_03562	TPA_13145
HOG_24286	TPS_14674	TCM_02201	TCE_01619	TBI_01136	TPA_02423
HOG_22621	TPS_07335	TCM_08412	TCE_08136	TBI_12269	TPA_05584
HOG_22620	TPS_01351	TCM_05435	TCE_03548	TBI_06256	TPA_07116
HOG_4348	TPS_04874	TCM_00691	TCE_03799	TBI_01158	TPA_04421
HOG_22628	TPS_02901	TCM_02962	TCE_03967	TBI_02314	TPA_00680
HOG_23898	TPS_13538	TCM_14016	TCE_07440	TBI_00109	TPA_09432
HOG_3801	TPS_07810	TCM_11005	TCE_02856	TBI_02725	TPA_16343
HOG_3803	TPS_01265	TCM_02964	TCE_02475	TBI_02925	TPA_04576
HOG_23481	TPS_00522	TCM_11592	TCE_01504	TBI_12713	TPA_10678
HOG_23248	TPS_14813	TCM_10685	TCE_09349	TBI_03188	TPA_11991
HOG_23249	TPS_08046	TCM_06755	TCE_00554	TBI_02806	TPA_16044
HOG_8465	TPS_15535	TCM_00559	TCE_00239	TBI_01683	TPA_07853
HOG_23244	TPS_15357	TCM_05637	TCE_09937	TBI_10956	TPA_16217
HOG_23245	TPS_08976	TCM_01156	TCE_01438	TBI_10843	TPA_04645
HOG_23240	TPS_08108	TCM_13637	TCE_01426	TBI_02285	TPA_10326
HOG_23241	TPS_02243	TCM_02049	TCE_03024	TBI_04604	TPA_07592
HOG_15327	TPS_05897	TCM_04930	TCE_04663	TBI_05189	TPA_03084
HOG_23390	TPS_15393	TCM_14440	TCE_05918	TBI_11526	TPA_14692
HOG_19316	TPS_15261	TCM_05364	TCE_01489	TBI_09204	TPA_01701
HOG_7554	TPS_05111	TCM_00650	TCE_01663	TBI_01609	TPA_09643
HOG_19339	TPS_04758	TCM_08509	TCE_05605	TBI_04126	TPA_04358
HOG_19338	TPS_11942	TCM_06005	TCE_06803	TBI_09468	TPA_09101
HOG_16103	TPS_01683	TCM_02829	TCE_08115	TBI_03771	TPA_10424
HOG_16101	TPS_07072	TCM_04517	TCE_08660	TBI_03347	TPA_10180
HOG_16107	TPS_01512	TCM_03094	TCE_07614	TBI_02701	TPA_06292
HOG_19334	TPS_10705	TCM_03470	TCE_07414	TBI_06338	TPA_00509
HOG_19624	TPS_08287	TCM_11326	TCE_03231	TBI_07542	TPA_05217
HOG_22556	TPS_09000	TCM_11333	TCE_11530	TBI_10431	TPA_07975
HOG_22281	TPS_04689	TCM_12583	TCE_08194	TBI_14038	TPA_09498
HOG_22537	TPS_10891	TCM_08625	TCE_07930	TBI_09134	TPA_12853
HOG_22531	TPS_00160	TCM_07175	TCE_02020	TBI_04257	TPA_02681
HOG_4174	TPS_06117	TCM_05710	TCE_07733	TBI_10744	TPA_05214
HOG_23800	TPS_03035	TCM_04052	TCE_08983	TBI_02933	TPA_15104
HOG_23801	TPS_10614	TCM_02638	TCE_03988	TBI_02238	TPA_08960
HOG_4178	TPS_00032	TCM_02848	TCE_00240	TBI_01684	TPA_02476
HOG_23804	TPS_06068	TCM_06463	TCE_13479	TBI_07579	TPA_01326
HOG_17947	TPS_10687	TCM_09977	TCE_10586	TBI_02141	TPA_04452
HOG_16039	TPS_03074	TCM_04416	TCE_07301	TBI_07974	TPA_04035
HOG_19755	TPS_09699	TCM_04130	TCE_03973	TBI_01989	TPA_15213
HOG_19026	TPS_10499	TCM_09678	TCE_09655	TBI_05319	TPA_12494
HOG_5814	TPS_09247	TCM_10195	TCE_04066	TBI_09497	TPA_06566
HOG_19752	TPS_02871	TCM_04017	TCE_12608	TBI_02062	TPA_16117
HOG_19023	TPS_04122	TCM_00381	TCE_02739	TBI_00861	TPA_07472
HOG_16741	TPS_06259	TCM_04994	TCE_06111	TBI_06976	TPA_10635
HOG_17619	TPS_01910	TCM_04144	TCE_05965	TBI_02699	TPA_00560
HOG_19247	TPS_00655	TCM_04869	TCE_02930	TBI_03360	TPA_03430
HOG_19934	TPS_08714	TCM_09040	TCE_07059	TBI_09317	TPA_07488
HOG_16745	TPS_01290	TCM_01563	TCE_02779	TBI_02124	TPA_02651
HOG_16212	TPS_08661	TCM_01676	TCE_04390	TBI_03827	TPA_03011
HOG_19243	TPS_07325	TCM_08318	TCE_10719	TBI_00283	TPA_09638
HOG_16746	TPS_00555	TCM_03617	TCE_05391	TBI_00658	TPA_16206
HOG_17344	TPS_09482	TCM_07040	TCE_04938	TBI_00781	TPA_12348
HOG_17614	TPS_09588	TCM_12680	TCE_04217	TBI_06625	TPA_12237
HOG_19939	TPS_03960	TCM_05562	TCE_04318	TBI_05584	TPA_03271
HOG_22759	TPS_01950	TCM_05725	TCE_02559	TBI_04098	TPA_05163
HOG_13509	TPS_08730	TCM_09219	TCE_10041	TBI_08870	TPA_03333
HOG_238	TPS_11293	TCM_05343	TCE_07135	TBI_01692	TPA_07847
HOG_16582	TPS_04079	TCM_14547	TCE_02727	TBI_04790	TPA_02110
HOG_16581	TPS_14599	TCM_12492	TCE_09195	TBI_06384	TPA_06114
HOG_16580	TPS_04586	TCM_03246	TCE_08048	TBI_11166	TPA_05898
HOG_22750	TPS_09667	TCM_07439	TCE_07784	TBI_10981	TPA_04693
HOG_236	TPS_06708	TCM_09772	TCE_02800	TBI_03163	TPA_01527
HOG_231	TPS_08533	TCM_02111	TCE_00479	TBI_02256	TPA_04121
HOG_16589	TPS_07881	TCM_08599	TCE_08481	TBI_09349	TPA_04621
HOG_233	TPS_03177	TCM_08026	TCE_04310	TBI_00989	TPA_10952
HOG_23932	TPS_14630	TCM_08361	TCE_11102	TBI_07282	TPA_02015
HOG_20467	TPS_11063	TCM_14463	TCE_02565	TBI_13900	TPA_16274
HOG_22259	TPS_04475	TCM_05226	TCE_05558	TBI_03738	TPA_10401
HOG_2227	TPS_09862	TCM_11777	TCE_08642	TBI_11209	TPA_08336
HOG_2224	TPS_11173	TCM_08713	TCE_10508	TBI_01880	TPA_07105
HOG_2223	TPS_12890	TCM_14269	TCE_07633	TBI_11952	TPA_14577
HOG_21891	TPS_12111	TCM_08155	TCE_10619	TBI_08321	TPA_15065
HOG_23939	TPS_02959	TCM_04661	TCE_05601	TBI_03475	TPA_02749
HOG_133	TPS_02933	TCM_00681	TCE_01717	TBI_03326	TPA_04273
HOG_17506	TPS_05844	TCM_02207	TCE_10023	TBI_06970	TPA_08108
HOG_4883	TPS_01405	TCM_01947	TCE_02045	TBI_04104	TPA_00487
HOG_142	TPS_14712	TCM_06897	TCE_13849	TBI_13956	TPA_16223
HOG_20878	TPS_07560	TCM_07307	TCE_05501	TBI_03495	TPA_16239
HOG_21656	TPS_02278	TCM_03258	TCE_01096	TBI_08745	TPA_07043
HOG_21659	TPS_12748	TCM_05610	TCE_06115	TBI_08395	TPA_09778
HOG_20874	TPS_04690	TCM_09073	TCE_08195	TBI_09392	TPA_04419
HOG_21878	TPS_09463	TCM_08375	TCE_10615	TBI_12594	TPA_09152
HOG_20871	TPS_04329	TCM_00275	TCE_00009	TBI_00873	TPA_05325
HOG_21097	TPS_00044	TCM_00168	TCE_00111	TBI_00340	TPA_10683
HOG_13475	TPS_03852	TCM_06554	TCE_03515	TBI_07176	TPA_12948
HOG_4507	TPS_12883	TCM_08582	TCE_12681	TBI_11494	TPA_09480
HOG_16367	TPS_05616	TCM_04413	TCE_07870	TBI_02991	TPA_00575
HOG_19805	TPS_03736	TCM_04345	TCE_04072	TBI_10498	TPA_03448
HOG_19809	TPS_09826	TCM_10153	TCE_03853	TBI_10971	TPA_13626
HOG_4509	TPS_02068	TCM_11065	TCE_08391	TBI_02270	TPA_14901
HOG_1056	TPS_02167	TCM_10885	TCE_11153	TBI_05711	TPA_15666
HOG_16698	TPS_13804	TCM_13361	TCE_09940	TBI_12533	TPA_08047
HOG_2086	TPS_04813	TCM_08877	TCE_08348	TBI_03734	TPA_10012
HOG_17188	TPS_01354	TCM_01738	TCE_01209	TBI_03443	TPA_00736
HOG_11658	TPS_01874	TCM_01270	TCE_03418	TBI_02917	TPA_06512
HOG_2539	TPS_03719	TCM_02113	TCE_00475	TBI_02253	TPA_08772
HOG_2532	TPS_07427	TCM_08327	TCE_03042	TBI_04626	TPA_16471
HOG_2533	TPS_11177	TCM_05112	TCE_05886	TBI_07369	TPA_04184
HOG_2530	TPS_15491	TCM_14451	TCE_13388	TBI_12861	TPA_16312
HOG_18371	TPS_05596	TCM_14417	TCE_01518	TBI_08558	TPA_16230
HOG_17185	TPS_06041	TCM_08369	TCE_09660	TBI_10467	TPA_02025
HOG_17186	TPS_06533	TCM_01932	TCE_02064	TBI_10094	TPA_13836
HOG_17187	TPS_04796	TCM_07590	TCE_11902	TBI_05463	TPA_11340
HOG_20674	TPS_12225	TCM_05906	TCE_07144	TBI_03435	TPA_00655
HOG_17763	TPS_04086	TCM_10081	TCE_10988	TBI_08698	TPA_07011
HOG_22031	TPS_04043	TCM_07387	TCE_04341	TBI_08786	TPA_07788
HOG_17768	TPS_10490	TCM_03068	TCE_01341	TBI_01242	TPA_15495
HOG_10699	TPS_10362	TCM_10852	TCE_09861	TBI_09242	TPA_07737
HOG_17167	TPS_06468	TCM_08165	TCE_05979	TBI_00908	TPA_02619
HOG_22703	TPS_02614	TCM_01516	TCE_03606	TBI_02410	TPA_01818
HOG_21270	TPS_13517	TCM_08628	TCE_09657	TBI_09545	TPA_04070
HOG_17163	TPS_05574	TCM_08100	TCE_02414	TBI_02773	TPA_03950
HOG_21275	TPS_11520	TCM_03175	TCE_03839	TBI_00127	TPA_13870
HOG_17161	TPS_05756	TCM_01895	TCE_08997	TBI_05047	TPA_04757
HOG_21279	TPS_04061	TCM_05567	TCE_02890	TBI_00880	TPA_13278
HOG_22833	TPS_00753	TCM_07705	TCE_09680	TBI_03834	TPA_01091
HOG_17407	TPS_08696	TCM_08484	TCE_04313	TBI_02195	TPA_04957
HOG_5075	TPS_10816	TCM_11833	TCE_07291	TBI_10125	TPA_08860
HOG_1832	TPS_03030	TCM_08426	TCE_05937	TBI_01806	TPA_14425
HOG_17158	TPS_02131	TCM_03641	TCE_08602	TBI_00757	TPA_00113
HOG_3798	TPS_14716	TCM_06292	TCE_07388	TBI_06297	TPA_01523
HOG_1835	TPS_03075	TCM_04415	TCE_08986	TBI_08370	TPA_09851
HOG_10906	TPS_02941	TCM_13269	TCE_00740	TBI_03981	TPA_03938
HOG_19619	TPS_00986	TCM_00549	TCE_00058	TBI_01212	TPA_08480
HOG_3791	TPS_14698	TCM_14143	TCE_13716	TBI_11340	TPA_15468
HOG_18635	TPS_10090	TCM_09829	TCE_07123	TBI_10455	TPA_04915
HOG_3792	TPS_07937	TCM_07893	TCE_04323	TBI_07445	TPA_14406
HOG_4985	TPS_13788	TCM_09435	TCE_13837	TBI_12735	TPA_15189
HOG_4984	TPS_04993	TCM_01625	TCE_02832	TBI_09916	TPA_04954
HOG_16641	TPS_08430	TCM_13606	TCE_01052	TBI_01443	TPA_10351
HOG_6245	TPS_02453	TCM_07301	TCE_11556	TBI_08180	TPA_16273
HOG_2408	TPS_02139	TCM_06944	TCE_02798	TBI_05504	TPA_08488
HOG_18632	TPS_12585	TCM_13392	TCE_06683	TBI_07496	TPA_04450
HOG_20453	TPS_04523	TCM_03240	TCE_06315	TBI_00331	TPA_09285
HOG_5386	TPS_04584	TCM_08393	TCE_01408	TBI_13807	TPA_09497
HOG_20901	TPS_02207	TCM_00458	TCE_00369	TBI_05134	TPA_02069
HOG_2282	TPS_00357	TCM_01228	TCE_00968	TBI_01625	TPA_04881
HOG_18562	TPS_00260	TCM_01316	TCE_00567	TBI_00627	TPA_00030
HOG_18565	TPS_09883	TCM_10302	TCE_11371	TBI_08141	TPA_09134
HOG_16645	TPS_00856	TCM_06743	TCE_00976	TBI_02043	TPA_01266
HOG_21507	TPS_10360	TCM_07217	TCE_02499	TBI_03244	TPA_08091
HOG_9702	TPS_01820	TCM_05472	TCE_06392	TBI_06062	TPA_00142
HOG_19611	TPS_06447	TCM_07765	TCE_00455	TBI_01904	TPA_02646
HOG_18969	TPS_11381	TCM_06031	TCE_03891	TBI_11057	TPA_03756
HOG_18968	TPS_00739	TCM_02107	TCE_02069	TBI_01786	TPA_06346
HOG_21471	TPS_13499	TCM_12481	TCE_03305	TBI_01517	TPA_02773
HOG_18966	TPS_06876	TCM_05682	TCE_08848	TBI_07685	TPA_13756
HOG_18965	TPS_06242	TCM_03362	TCE_10816	TBI_04985	TPA_07694
HOG_21472	TPS_11954	TCM_07477	TCE_09708	TBI_02832	TPA_05908
HOG_3246	TPS_04572	TCM_02707	TCE_01727	TBI_12684	TPA_07876
HOG_24117	TPS_00546	TCM_00741	TCE_00719	TBI_00788	TPA_09890
HOG_24116	TPS_00308	TCM_01608	TCE_00940	TBI_00162	TPA_02827
HOG_18418	TPS_00921	TCM_04854	TCE_01806	TBI_09823	TPA_05365
HOG_18417	TPS_02647	TCM_02307	TCE_00046	TBI_00473	TPA_00449
HOG_18416	TPS_15493	TCM_14515	TCE_07416	TBI_13980	TPA_16515
HOG_18415	TPS_01367	TCM_01985	TCE_03489	TBI_11863	TPA_11119
HOG_822	TPS_07132	TCM_07138	TCE_09620	TBI_07895	TPA_03480
HOG_18985	TPS_03851	TCM_06555	TCE_03516	TBI_07177	TPA_16172
HOG_1481	TPS_00132	TCM_01217	TCE_04126	TBI_02093	TPA_03847
HOG_1480	TPS_01677	TCM_04824	TCE_04841	TBI_04022	TPA_04223
HOG_20299	TPS_10996	TCM_06293	TCE_07389	TBI_06298	TPA_11175
HOG_20294	TPS_05161	TCM_06029	TCE_05006	TBI_08330	TPA_07553
HOG_14206	TPS_03001	TCM_07560	TCE_08396	TBI_08345	TPA_04647
HOG_20293	TPS_10612	TCM_14315	TCE_00846	TBI_10102	TPA_03541
HOG_3301	TPS_04996	TCM_08932	TCE_07573	TBI_12207	TPA_05480
HOG_797	TPS_12570	TCM_08845	TCE_06796	TBI_03300	TPA_02831
HOG_21504	TPS_07052	TCM_09258	TCE_08003	TBI_05452	TPA_09553
HOG_24027	TPS_05537	TCM_07775	TCE_13828	TBI_05061	TPA_16433
HOG_21501	TPS_03658	TCM_02310	TCE_03178	TBI_03011	TPA_11306
HOG_792	TPS_10587	TCM_06895	TCE_10175	TBI_09146	TPA_15117
HOG_1715	TPS_15539	TCM_07960	TCE_09983	TBI_05124	TPA_03451
HOG_21502	TPS_03770	TCM_07977	TCE_01999	TBI_05033	TPA_09207
HOG_21508	TPS_10411	TCM_13895	TCE_07442	TBI_00111	TPA_01965
HOG_20053	TPS_02346	TCM_01037	TCE_00247	TBI_01191	TPA_00777
HOG_1138	TPS_01594	TCM_05196	TCE_00357	TBI_08437	TPA_11778
HOG_18189	TPS_04591	TCM_01902	TCE_05159	TBI_01226	TPA_12699
HOG_3051	TPS_09566	TCM_09711	TCE_13043	TBI_11182	TPA_14451
HOG_3126	TPS_01624	TCM_01412	TCE_01790	TBI_00439	TPA_02607
HOG_1131	TPS_00286	TCM_06034	TCE_04882	TBI_04913	TPA_15032
HOG_1130	TPS_06797	TCM_07747	TCE_00840	TBI_08102	TPA_03329
HOG_18180	TPS_03954	TCM_00760	TCE_01670	TBI_00306	TPA_00067
HOG_1135	TPS_08159	TCM_09791	TCE_01573	TBI_01546	TPA_06146
HOG_15484	TPS_13582	TCM_09601	TCE_13244	TBI_13098	TPA_10363
HOG_15138	TPS_02295	TCM_01718	TCE_03192	TBI_00534	TPA_00026
HOG_7781	TPS_01823	TCM_02702	TCE_04411	TBI_11754	TPA_04871
HOG_3012	TPS_09547	TCM_06300	TCE_09565	TBI_08531	TPA_04851
HOG_17974	TPS_04866	TCM_02304	TCE_06375	TBI_01302	TPA_07831
HOG_23791	TPS_08425	TCM_06757	TCE_05081	TBI_02896	TPA_02146
HOG_17970	TPS_15467	TCM_14404	TCE_13769	TBI_13993	TPA_16244
HOG_519	TPS_10632	TCM_13666	TCE_04358	TBI_03744	TPA_16387
HOG_18746	TPS_01180	TCM_02924	TCE_01990	TBI_02696	TPA_00702
HOG_18745	TPS_01981	TCM_03939	TCE_03710	TBI_00917	TPA_09615
HOG_18744	TPS_07747	TCM_11894	TCE_09859	TBI_13813	TPA_10546
HOG_18741	TPS_07356	TCM_05180	TCE_07757	TBI_08364	TPA_12812
HOG_1007	TPS_11577	TCM_14344	TCE_10308	TBI_00098	TPA_09349
HOG_1006	TPS_01880	TCM_08471	TCE_02436	TBI_08308	TPA_01228
HOG_514	TPS_15605	TCM_03620	TCE_13743	TBI_06179	TPA_16106
HOG_4189	TPS_00076	TCM_00506	TCE_01617	TBI_00380	TPA_00208
HOG_621	TPS_02915	TCM_04678	TCE_02579	TBI_03282	TPA_16333
HOG_8057	TPS_05913	TCM_06239	TCE_09959	TBI_01603	TPA_06576
HOG_626	TPS_13923	TCM_12776	TCE_04685	TBI_10697	TPA_09077
HOG_23659	TPS_13667	TCM_08353	TCE_06608	TBI_12888	TPA_15651
HOG_624	TPS_04658	TCM_00565	TCE_00235	TBI_06530	TPA_01495
HOG_629	TPS_13805	TCM_03177	TCE_03650	TBI_10141	TPA_14326
HOG_23654	TPS_03574	TCM_03930	TCE_06934	TBI_07749	TPA_09460
HOG_23653	TPS_03986	TCM_10810	TCE_09475	TBI_04467	TPA_06874
HOG_23120	TPS_00039	TCM_00173	TCE_00106	TBI_00335	TPA_15891
HOG_1228	TPS_07493	TCM_04236	TCE_08462	TBI_06235	TPA_05360
HOG_8290	TPS_08619	TCM_12328	TCE_10160	TBI_11333	TPA_14574
HOG_6534	TPS_00049	TCM_00163	TCE_00116	TBI_02378	TPA_00410
HOG_15550	TPS_06799	TCM_05888	TCE_05405	TBI_09745	TPA_01035
HOG_5664	TPS_07996	TCM_12594	TCE_12701	TBI_13321	TPA_10309
